accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	is_lab_host	sample_type	biosample_accessions	full_authors	institution	submitter_country	country	division	authors	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage
KF572633	KF572633.1	GenBank		KF572633	Asia		2010-09-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572634	KF572634.1	GenBank		KF572634	Asia		2008-11-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572635	KF572635.1	GenBank		KF572635	Asia		2008-12-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572636	KF572636.1	GenBank		KF572636	Asia		2008-12-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572637	KF572637.1	GenBank		KF572637	Asia		2008-12-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572638	KF572638.1	GenBank		KF572638	Asia		2012-05-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3686	22355	23629	0.04147960179582276
KF572639	KF572639.1	GenBank		KF572639	Asia		2012-05-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572640	KF572640.1	GenBank		KF572640	Asia		2012-05-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572641	KF572641.1	GenBank		KF572641	Asia		2012-05-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572642	KF572642.1	GenBank		KF572642	Asia		2012-05-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572643	KF572643.1	GenBank		KF572643	Asia		2012-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572644	KF572644.1	GenBank		KF572644	Asia		2012-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3682	22355	23629	0.04147960179582276
KF572645	KF572645.1	GenBank		KF572645	Asia		2012-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3686	22355	23629	0.04147960179582276
KF572646	KF572646.1	GenBank		KF572646	Asia		2012-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572647	KF572647.1	GenBank		KF572647	Asia		2009-02-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572648	KF572648.1	GenBank		KF572648	Asia		2009-02-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572649	KF572649.1	GenBank		KF572649	Asia		2009-04-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572650	KF572650.1	GenBank		KF572650	Asia		2009-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3702	22355	23629	0.04147960179582276
KF572651	KF572651.1	GenBank		KF572651	Asia		2009-08-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572652	KF572652.1	GenBank		KF572652	Asia		2009-08-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572653	KF572653.1	GenBank		KF572653	Asia		2006-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3714	22355	23629	0.04147960179582276
KF572654	KF572654.1	GenBank		KF572654	Asia		2010-01-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3702	22355	23629	0.04147960179582276
KF572655	KF572655.1	GenBank		KF572655	Asia		2010-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		99229	bad	3706	22355	23629	0.04147960179582276
KF572656	KF572656.1	GenBank		KF572656	Asia		2010-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3710	22355	23629	0.04147960179582276
KF572657	KF572657.1	GenBank		KF572657	Asia		2006-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3710	22355	23629	0.04147960179582276
KF572658	KF572658.1	GenBank		KF572658	Asia		2010-04-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		99229	bad	3714	22355	23629	0.04147960179582276
KF572659	KF572659.1	GenBank		KF572659	Asia		2010-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3698	22355	23629	0.04147960179582276
KF572660	KF572660.1	GenBank		KF572660	Asia		2010-07-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572661	KF572661.1	GenBank		KF572661	Asia		2010-07-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3718	22355	23629	0.04147960179582276
KF572662	KF572662.1	GenBank		KF572662	Asia		2010-07-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572663	KF572663.1	GenBank		KF572663	Asia		2010-08-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572664	KF572664.1	GenBank		KF572664	Asia		2005-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3722	22355	23629	0.04147960179582276
KF572665	KF572665.1	GenBank		KF572665	Asia		2011-12-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3718	22355	23629	0.04147960179582276
KF572666	KF572666.1	GenBank		KF572666	Asia		2012-02-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3718	22355	23629	0.04147960179582276
KF572667	KF572667.1	GenBank		KF572667	Asia		2012-02-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3706	22355	23629	0.04147960179582276
KF572668	KF572668.1	GenBank		KF572668	Asia		2012-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		99229	bad	3706	22355	23629	0.04147960179582276
KF572669	KF572669.1	GenBank		KF572669	Asia		2012-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		96104	bad	3710	22355	23629	0.04147960179582276
KF572670	KF572670.1	GenBank		KF572670	Asia		2012-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572671	KF572671.1	GenBank		KF572671	Asia		2006-09-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3722	22355	23629	0.04147960179582276
KF572672	KF572672.1	GenBank		KF572672	Asia		2006-10-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3722	22355	23629	0.04147960179582276
KF572673	KF572673.1	GenBank		KF572673	Asia		2007-04-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572674	KF572674.1	GenBank		KF572674	Asia		2007-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572675	KF572675.1	GenBank		KF572675	Asia		2007-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572676	KF572676.1	GenBank		KF572676	Asia		2007-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572677	KF572677.1	GenBank		KF572677	Asia		2007-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572678	KF572678.1	GenBank		KF572678	Asia		2007-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572679	KF572679.1	GenBank		KF572679	Asia		2007-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572680	KF572680.1	GenBank		KF572680	Asia		2007-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572681	KF572681.1	GenBank		KF572681	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572682	KF572682.1	GenBank		KF572682	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572683	KF572683.1	GenBank		KF572683	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572684	KF572684.1	GenBank		KF572684	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572685	KF572685.1	GenBank		KF572685	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572686	KF572686.1	GenBank		KF572686	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572687	KF572687.1	GenBank		KF572687	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572688	KF572688.1	GenBank		KF572688	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572689	KF572689.1	GenBank		KF572689	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572690	KF572690.1	GenBank		KF572690	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572691	KF572691.1	GenBank		KF572691	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572692	KF572692.1	GenBank		KF572692	Asia		2007-06-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572693	KF572693.1	GenBank		KF572693	Asia		2007-07-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572694	KF572694.1	GenBank		KF572694	Asia		2007-07-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572695	KF572695.1	GenBank		KF572695	Asia		2007-07-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572696	KF572696.1	GenBank		KF572696	Asia		2007-07-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572697	KF572697.1	GenBank		KF572697	Asia		2007-05-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572698	KF572698.1	GenBank		KF572698	Asia		2008-11-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572699	KF572699.1	GenBank		KF572699	Asia		2009-02-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572700	KF572700.1	GenBank		KF572700	Asia		2009-03-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572701	KF572701.1	GenBank		KF572701	Asia		2009-04-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
KF572702	KF572702.1	GenBank		KF572702	Asia		2008-10-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3690	22355	23629	0.04147960179582276
KF572703	KF572703.1	GenBank		KF572703	Asia		2009-08-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3694	22355	23629	0.04147960179582276
KF572704	KF572704.1	GenBank		KF572704	Asia		2009-08-XX	2015-08-31	2015-08-31	1272	Homo sapiens		oronasopharynx		Zhang,Y.,Ren,L.,Wang,J.	Chinese Academy of Medical Sciences (CAMS) & Peking Union Medical College, Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology		China	Beijing	Zhang et al.		93029	bad	3698	22355	23629	0.04147960179582276
